"","occurrence","direction","gene_symbol_human","gene_symbol_mouse"
"IL6",7,"up","IL6","Il6"
"IGFBP3",7,"up","IGFBP3","Igfbp3"
"EGFR",7,"down","EGFR","Egfr"
"SERPINE1",6,"up","SERPINE1","Serpine1"
"IGFBP1",6,"up","IGFBP1","Igfbp1"
"IGFBP7",6,"up","IGFBP7","Igfbp7"
"FAS",6,"up","FAS","Fas"
"FGF2",6,"up","FGF2","Fgf2"
"VEGFA",6,"up","VEGFA","Vegfa"
"CDKN1A",6,"up","CDKN1A","Cdkn1a"
"CDKN2A",6,"up","CDKN2A","Cdkn2a"
"STAT1",5,"up","STAT1","Stat1"
"TNFRSF10C",5,"up","TNFRSF10C","Tnfrsf10b"
"PARP1",5,"down","PARP1","Parp1"
"CXCL8",5,"up","CXCL8",NA
"IL1A",5,"up","IL1A","Il1a"
"CXCL1",5,"up","CXCL1","Cxcl3"
"ICAM1",5,"up","ICAM1","Icam1"
"CCL2",5,"up","CCL2","Ccl2"
"IGFBP2",5,"up","IGFBP2","Igfbp2"
"AXL",5,"down","AXL","Axl"
"WNT2",5,"down","WNT2","Wnt2"
"HMGB2",5,"down","HMGB2","Hmgb2"
"HMGB1",5,"down","HMGB1","Hmgb1"
"IGFBP5",5,"up","IGFBP5","Igfbp5"
"GDF15",5,"up","GDF15","Gdf15"
"MDM2",5,"down","MDM2","Mdm2"
"CDKN2B",5,"up","CDKN2B","Cdkn2b"
"CCNA2",5,"down","CCNA2","Ccna2"
"CDK1",5,"down","CDK1","Cdk1"
"HELLS",5,"down","HELLS","Hells"
"FOXM1",5,"down","FOXM1","Foxm1"
"BUB1B",5,"down","BUB1B","Bub1b"
"LMNB1",5,"down","LMNB1","Lmnb1"
"BRCA1",5,"down","BRCA1","Brca1"
"IGF1",5,"up","IGF1","Igf1"
"JUN",5,"down","JUN","Jun"
"MIF",5,"down","MIF","Mif"
"TGFB1",5,"up","TGFB1","Tgfb1"
